,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
114,@CBS,Tue Jul 17 17:22:29 +0000 2018,👨📝✔️ #WorldEmojiDay,0.0,0.0,1.0,0.0,15
115,@CBS,Tue Jul 17 17:22:29 +0000 2018,👩‍💼💼🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0,16
116,@CBS,Tue Jul 17 17:22:29 +0000 2018,🕵️🕵️‍♀️ #WorldEmojiDay,0.0,0.0,1.0,0.0,17
117,@CBS,Tue Jul 17 17:22:29 +0000 2018,⚓️🦅🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0,18
118,@CBS,Tue Jul 17 17:22:29 +0000 2018,🏄🌴🚔 #WorldEmojiDay,0.0,0.0,1.0,0.0,19
119,@CBS,Tue Jul 17 17:22:28 +0000 2018,💙👮🍽 #WorldEmojiDay,0.0,0.0,1.0,0.0,20
120,@CBS,Tue Jul 17 17:22:28 +0000 2018,💣📎 #WorldEmojiDay,0.0,0.0,1.0,0.0,21
121,@CBS,Tue Jul 17 17:22:28 +0000 2018,🌎☄️ #WorldEmojiDay,0.0,0.0,1.0,0.0,22
122,@CBS,Tue Jul 17 17:22:28 +0000 2018,🏷💰🎰 #WorldEmojiDay,0.0,0.0,1.0,0.0,23
123,@CBS,Tue Jul 17 17:22:28 +0000 2018,👶😴🚫 #WorldEmojiDay,0.0,0.0,1.0,0.0,24
124,@CBS,Tue Jul 17 17:22:28 +0000 2018,🤝💼💰 #WorldEmojiDay,0.0,0.0,1.0,0.0,25
125,@CBS,Tue Jul 17 17:22:27 +0000 2018,💄👠📷 #WorldEmojiDay,0.0,0.0,1.0,0.0,26
126,@CBS,Tue Jul 17 17:22:27 +0000 2018,🏝🔥💵 #WorldEmojiDay,0.0,0.0,1.0,0.0,27
127,@CBS,Tue Jul 17 17:22:27 +0000 2018,🐮⚖️ #WorldEmojiDay,0.0,0.0,1.0,0.0,28
128,@CBS,Tue Jul 17 17:22:27 +0000 2018,🏠📹📹📹 #WorldEmojiDay,0.0,0.0,1.0,0.0,29
129,@CBS,Tue Jul 17 17:22:27 +0000 2018,👶💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0,30
130,@CBS,Tue Jul 17 17:22:26 +0000 2018,💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0,31
131,@CBS,Tue Jul 17 17:22:26 +0000 2018,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,0.807,0.258,0.742,0.0,32
132,@CBS,Fri Jul 13 21:35:01 +0000 2018,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",0.1139,0.078,0.922,0.0,33
