,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
117,@CBS,Tue Jul 17 17:22:29 +0000 2018,🕵️🕵️‍♀️ #WorldEmojiDay,0.0,0.0,1.0,0.0,18
118,@CBS,Tue Jul 17 17:22:29 +0000 2018,⚓️🦅🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0,19
119,@CBS,Tue Jul 17 17:22:29 +0000 2018,🏄🌴🚔 #WorldEmojiDay,0.0,0.0,1.0,0.0,20
120,@CBS,Tue Jul 17 17:22:28 +0000 2018,💙👮🍽 #WorldEmojiDay,0.0,0.0,1.0,0.0,21
121,@CBS,Tue Jul 17 17:22:28 +0000 2018,💣📎 #WorldEmojiDay,0.0,0.0,1.0,0.0,22
122,@CBS,Tue Jul 17 17:22:28 +0000 2018,🌎☄️ #WorldEmojiDay,0.0,0.0,1.0,0.0,23
123,@CBS,Tue Jul 17 17:22:28 +0000 2018,🏷💰🎰 #WorldEmojiDay,0.0,0.0,1.0,0.0,24
124,@CBS,Tue Jul 17 17:22:28 +0000 2018,👶😴🚫 #WorldEmojiDay,0.0,0.0,1.0,0.0,25
125,@CBS,Tue Jul 17 17:22:28 +0000 2018,🤝💼💰 #WorldEmojiDay,0.0,0.0,1.0,0.0,26
126,@CBS,Tue Jul 17 17:22:27 +0000 2018,💄👠📷 #WorldEmojiDay,0.0,0.0,1.0,0.0,27
127,@CBS,Tue Jul 17 17:22:27 +0000 2018,🏝🔥💵 #WorldEmojiDay,0.0,0.0,1.0,0.0,28
128,@CBS,Tue Jul 17 17:22:27 +0000 2018,🐮⚖️ #WorldEmojiDay,0.0,0.0,1.0,0.0,29
129,@CBS,Tue Jul 17 17:22:27 +0000 2018,🏠📹📹📹 #WorldEmojiDay,0.0,0.0,1.0,0.0,30
130,@CBS,Tue Jul 17 17:22:27 +0000 2018,👶💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0,31
131,@CBS,Tue Jul 17 17:22:26 +0000 2018,💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0,32
132,@CBS,Tue Jul 17 17:22:26 +0000 2018,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,0.807,0.258,0.742,0.0,33
133,@CBS,Fri Jul 13 21:35:01 +0000 2018,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",0.1139,0.078,0.922,0.0,34
134,@CBS,Fri Jul 13 21:15:41 +0000 2018,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",-0.4404,0.0,0.868,0.132,35
135,@CBS,Fri Jul 13 17:49:38 +0000 2018,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,0.0,0.0,1.0,0.0,36
136,@CBS,Thu Jul 12 01:01:24 +0000 2018,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,0.6514,0.282,0.718,0.0,37
137,@CBS,Wed Jul 11 21:44:45 +0000 2018,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",0.5562,0.174,0.826,0.0,38
